,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
85,65,85,65,85,65,85,65,85,65,85,65,196,722,954,545,2667,1066,40554,2.0,2021-05-25 23:48:37,2021-05-25 23:54:42,N,1.0,17,49,5.0,1.29,6.5,0.5,0.5,2.34,0.0,,0.3,10.14,1.0,1.0,0.0
32,90,87,12,78,72,49,5,93,83,46,17,175,751,824,3230,1827,3648,2005,2.0,2021-05-02 13:58:39,2021-05-02 14:11:16,N,1.0,74,152,1.0,1.76,10.0,0.0,0.5,2.7,0.0,,0.3,13.5,1.0,1.0,0.0
84,39,74,98,47,40,1,86,58,23,71,29,1,859,574,2926,1737,9782,25326,2.0,2021-05-17 10:24:16,2021-05-17 10:29:43,N,1.0,41,75,1.0,0.64,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,2.0,1.0,0.0
14,7,73,97,64,79,77,94,9,95,96,67,531,634,879,4095,1442,7164,8978,2.0,2021-05-06 19:34:20,2021-05-06 19:49:34,N,1.0,166,220,2.0,6.87,21.0,1.0,0.5,0.0,3.0,,0.3,25.8,1.0,1.0,0.0
89,70,19,8,54,28,82,81,37,56,11,92,923,442,950,2024,4647,1042,55889,,2021-05-24 13:23:00,2021-05-24 13:33:00,,,51,242,,3.25,18.96,2.75,0.0,0.0,0.0,,0.3,22.01,,,
19,8,54,28,82,81,37,56,11,92,21,62,142,520,499,3480,2114,4908,24335,1.0,2021-05-16 15:33:31,2021-05-16 15:54:59,Y,1.0,166,235,1.0,6.0,20.0,0.0,0.5,0.0,0.0,,0.3,20.8,2.0,1.0,0.0
29,76,20,43,41,61,31,80,25,48,38,63,202,332,64,4394,222,5355,73597,,2021-05-19 15:36:00,2021-05-19 16:18:00,,,228,71,,5.2,24.17,2.75,0.0,0.0,0.0,,0.3,27.22,,,
49,5,93,83,46,17,24,45,15,30,60,10,496,190,834,979,2011,1957,29696,1.0,2021-05-19 18:52:54,2021-05-19 19:13:47,N,1.0,75,137,1.0,3.8,16.0,3.75,0.5,1.0,0.0,,0.3,21.55,1.0,1.0,2.75
97,64,79,77,94,9,95,96,67,84,39,74,926,388,21,1563,3029,1153,16821,2.0,2021-05-11 18:19:52,2021-05-11 18:48:58,N,1.0,42,74,6.0,4.1,20.5,1.0,0.5,0.0,0.0,,0.3,22.3,2.0,1.0,0.0
98,47,40,1,86,58,23,71,29,76,20,43,698,928,273,2640,6,5506,87525,,2021-05-03 12:27:00,2021-05-03 12:44:00,,,196,121,,3.9,23.99,2.75,0.0,0.0,0.0,,0.3,27.04,,,
